City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ugoofaaru,5.6667,73.0,27.04,76,91,2.51,MV,1675658048
84,tiksi,71.6872,128.8694,-30.13,100,100,1.66,RU,1675658000
85,andra,62.5147,65.8878,-23.38,100,99,1.63,RU,1675658049
86,kalmunai,7.4167,81.8167,26.25,83,100,5.9,LK,1675658049
87,mayo,38.8876,-76.5119,10.09,71,0,2.57,US,1675658050
88,provideniya,64.3833,-173.3,-13.94,78,100,5.0,RU,1675658050
89,gainesville,29.6516,-82.3248,13.19,80,0,0.0,US,1675657983
90,caceres,39.522,-6.3748,3.35,76,0,1.09,ES,1675658051
91,kolpashevo,58.3131,82.9089,-14.42,98,100,1.03,RU,1675658051
92,avarua,-21.2078,-159.775,27.03,83,40,4.63,CK,1675657979
93,dukhovnitskoye,52.4828,48.2137,-15.53,97,95,1.46,RU,1675658052
94,codrington,-38.2667,141.9667,19.13,57,41,4.89,AU,1675658053
95,hermanus,-34.4187,19.2345,21.0,88,69,5.88,ZA,1675657980
96,sao joao da barra,-21.6403,-41.0511,24.13,94,9,1.57,BR,1675658053
97,pevek,69.7008,170.3133,-38.15,100,96,1.44,RU,1675658054
98,inta,66.0317,60.1659,-16.07,96,97,4.25,RU,1675658055
99,umm lajj,25.0213,37.2685,18.98,56,22,2.17,SA,1675658055
100,guerrero negro,27.9769,-114.0611,15.19,88,94,7.67,MX,1675658056
101,chokurdakh,70.6333,147.9167,-35.46,99,94,1.32,RU,1675657994
102,tazovskiy,67.4667,78.7,-23.73,100,90,2.82,RU,1675658057
103,kushima,31.4583,131.2333,12.89,85,100,3.92,JP,1675658057
104,turangi,-39.0,175.9333,17.79,88,95,1.74,NZ,1675658057
105,richards bay,-28.783,32.0377,24.09,84,48,0.86,ZA,1675658059
106,khatanga,71.9667,102.5,-36.85,99,48,2.74,RU,1675657999
107,maragogi,-9.0122,-35.2225,24.86,87,26,2.31,BR,1675658060
108,kyrksaeterora,63.2906,9.0891,1.35,85,99,2.47,NO,1675658060
109,qaqortoq,60.7167,-46.0333,-11.69,85,75,7.52,GL,1675658061
110,hithadhoo,-0.6,73.0833,27.4,71,79,4.98,MV,1675658062
111,petatlan,17.5167,-101.2667,21.98,73,0,1.4,MX,1675658062
112,chermoz,58.787,56.1489,-21.58,100,99,2.12,RU,1675658063
113,mataura,-46.1927,168.8643,19.06,54,89,3.53,NZ,1675658063
114,bredasdorp,-34.5322,20.0403,21.14,86,70,5.65,ZA,1675657977
115,porto walter,-8.2686,-72.7439,21.52,97,100,0.8,BR,1675658066
116,faanui,-16.4833,-151.75,27.57,73,11,6.46,PF,1675658066
117,nizhneivkino,58.194,49.5214,-22.54,100,99,1.28,RU,1675657996
118,algiers,36.7525,3.042,8.9,93,75,2.57,DZ,1675657794
119,flin flon,54.7682,-101.865,-2.68,97,100,3.37,CA,1675657842
120,dayal bagh,27.2167,78.0167,22.66,34,0,2.59,IN,1675658069
121,sao fidelis,-21.6461,-41.7469,23.5,93,80,0.58,BR,1675658070
122,innisfail,-17.5333,146.0333,28.4,84,100,2.91,AU,1675658070
123,kodiak,57.79,-152.4072,1.73,80,100,14.92,US,1675657979
124,blackpool,53.8167,-3.05,2.74,77,46,3.24,GB,1675658071
125,cherskiy,68.75,161.3,-40.13,100,100,2.09,RU,1675658071
126,talnakh,69.4865,88.3972,-17.11,99,100,0.69,RU,1675657997
127,tamesis,5.6646,-75.7134,15.5,94,70,0.48,CO,1675658071
